id,Seismic_Mag,Radiation_uSv,Comms_State,AOI_Hit
78,1.78,4.41,Silence,False
79,3.34,9.9,Down,False
80,1.93,5.96,Normal,False
81,4.86,0.14,Silence,False
82,5.65,4.13,Silence,False
83,2.06,5.18,Down,True
84,3.55,6.36,Down,True
85,3.39,1.12,Down,True
86,0.13,3.26,Normal,True
87,5.5,2.11,Normal,True
88,5.81,4.32,Silence,False
89,0.48,5.22,Silence,False
90,0.97,8.87,Normal,True
91,2.39,6.72,Silence,False
92,4.09,3.26,Normal,True
93,3.73,6.16,Silence,True
94,4.81,3.53,Burst,True
95,1.36,9.29,Silence,False
96,2.29,7.74,Silence,True
97,3.05,2.78,Down,True
98,1.83,9.73,Silence,False
99,4.63,5.58,Burst,True
100,5.98,9.15,Silence,True
101,1.86,8.56,Normal,True
102,4.78,7.69,Normal,True
103,4.5,3.18,Silence,False
104,3.72,2.63,Burst,False
105,5.64,4.91,Down,False
106,4.8,6.2,Down,True
107,1.8,5.78,Silence,False
108,3.92,5.12,Silence,True
109,2.88,0.46,Down,True
110,3.17,8.27,Silence,False
111,0.86,3.86,Burst,True
112,1.2,8.0,Burst,False
113,3.74,0.18,Silence,True
114,2.05,2.77,Normal,False
115,2.17,9.21,Burst,False
116,5.2,6.85,Burst,False
117,4.92,6.67,Down,False
118,1.49,1.28,Normal,True
119,0.17,0.33,Down,False
120,2.8,7.58,Normal,True
121,0.71,7.28,Normal,False
122,0.28,8.89,Burst,True
123,3.31,8.0,Silence,True
124,4.2,8.62,Normal,True
125,3.75,6.23,Burst,False
126,4.09,8.62,Normal,True
127,2.41,6.72,Silence,True
128,0.87,4.65,Silence,False
129,3.61,9.38,Normal,True
130,5.9,6.53,Burst,True
131,5.79,5.05,Burst,True
132,0.12,2.01,Silence,True
133,1.39,2.43,Normal,False
134,1.8,10.0,Down,True
135,4.81,9.16,Silence,True
136,4.28,7.11,Down,False
137,0.8,6.8,Down,False
138,5.73,1.57,Silence,False
139,0.08,0.18,Burst,False
140,2.36,0.79,Burst,False
141,1.42,8.23,Burst,False
142,3.53,7.1,Silence,True
143,0.19,6.54,Silence,False
144,0.64,5.06,Down,True
145,2.89,1.91,Normal,False
146,3.59,1.21,Down,True
147,0.21,9.91,Burst,True
148,4.91,7.67,Down,False
149,2.85,4.33,Silence,True
150,2.34,4.92,Silence,False
151,4.5,5.94,Down,True
152,4.0,5.93,Down,True
153,3.55,9.95,Silence,True
154,2.28,8.8,Down,True
155,4.3,3.16,Silence,False
156,2.98,8.59,Down,True
157,4.61,0.32,Silence,False
158,4.61,5.65,Down,False
159,5.98,3.54,Down,True
160,3.34,4.19,Silence,False
161,3.92,1.71,Normal,True
162,2.16,0.05,Down,False
163,5.21,8.61,Burst,True
164,1.87,7.52,Down,False
165,2.7,0.29,Burst,True
166,5.02,5.66,Normal,True
167,4.79,5.26,Burst,True
168,3.23,5.75,Normal,False
169,5.33,1.48,Burst,False
170,1.6,6.69,Down,True
171,5.96,1.04,Burst,True
172,4.23,7.79,Burst,True
173,3.3,6.18,Down,True
174,4.3,7.16,Silence,True
175,1.12,7.08,Down,False
176,4.69,1.84,Burst,False
177,0.98,5.37,Burst,True
178,3.18,0.28,Down,False
179,4.72,4.18,Silence,True
180,4.01,0.45,Down,True
181,5.07,3.76,Normal,True
182,5.19,6.86,Normal,True
183,2.33,3.63,Down,True
184,4.84,0.91,Silence,False
185,5.22,2.3,Down,False
186,4.99,8.67,Silence,False
187,1.07,1.6,Normal,True
188,5.0,3.53,Down,True
189,3.86,0.49,Burst,True
190,1.85,0.05,Silence,False
191,1.16,6.59,Burst,False
192,5.28,2.77,Normal,False
193,1.53,8.91,Down,False
194,0.41,7.39,Burst,True
195,4.74,9.46,Down,False
196,1.51,8.45,Normal,False
197,3.55,3.32,Silence,True
198,2.84,0.27,Burst,True
199,4.85,3.69,Down,True
200,3.68,6.81,Silence,True
201,2.65,0.31,Silence,False
202,0.32,0.72,Down,True
203,1.38,8.75,Down,True
204,3.75,4.63,Down,False
205,4.32,5.56,Burst,False
206,4.72,6.32,Normal,True
207,4.18,1.71,Burst,True
208,0.54,9.15,Burst,False
209,4.74,4.39,Down,False
210,1.17,9.2,Normal,False
211,5.74,2.63,Normal,False
212,0.28,8.12,Silence,False
213,3.32,1.58,Burst,True
214,2.59,4.22,Down,False
215,4.24,4.2,Down,True
216,2.97,0.08,Silence,True
217,3.41,4.6,Burst,False
218,0.56,5.13,Burst,False
219,3.68,5.66,Normal,True
220,2.75,0.85,Down,True
221,0.96,9.04,Down,True
222,4.92,0.5,Burst,False
223,2.11,9.23,Burst,False
224,4.29,0.51,Normal,True
225,1.3,5.69,Burst,False
226,2.2,8.08,Burst,True
227,4.54,5.57,Silence,True
228,1.37,5.31,Down,False
229,2.82,6.52,Down,False
230,5.76,2.75,Silence,False
231,2.77,1.82,Silence,True
232,3.4,9.16,Down,False
233,4.6,4.62,Down,True
234,1.44,9.51,Silence,True
235,3.9,3.56,Burst,False
236,4.53,1.73,Down,True
237,1.05,1.71,Burst,True
238,3.24,8.06,Burst,True
239,1.29,9.96,Silence,True
240,2.78,6.04,Silence,False
241,1.97,2.13,Normal,True
242,3.09,4.62,Burst,True
243,2.04,8.11,Normal,False
244,5.03,7.56,Silence,True
245,4.1,0.34,Down,True
246,2.46,7.39,Silence,True
247,4.4,2.35,Down,True
248,1.4,2.6,Silence,False
249,3.76,4.36,Down,False
250,0.38,3.38,Down,False
251,2.42,5.71,Silence,False
252,2.16,3.78,Silence,True
253,3.45,5.84,Down,True
254,3.27,8.0,Silence,False
255,3.67,2.69,Burst,True
256,2.27,6.66,Silence,False
257,4.62,9.93,Silence,True
258,0.24,4.28,Burst,False
259,0.32,9.63,Burst,False
260,5.87,6.25,Normal,False
261,4.95,7.4,Burst,True
262,5.94,0.81,Silence,True
263,5.33,3.97,Down,True
264,3.73,7.74,Normal,True
265,0.62,5.86,Normal,True
266,0.72,4.63,Burst,True
267,5.95,5.59,Normal,False
268,0.3,1.71,Normal,True
269,2.1,4.57,Down,False
270,2.71,8.01,Down,False
271,4.37,5.12,Normal,False
272,2.36,1.95,Silence,True
273,5.21,5.28,Burst,True
274,4.0,2.04,Silence,False
275,5.98,7.16,Down,False
276,0.99,9.91,Burst,False
277,0.02,7.86,Normal,True
278,1.44,6.56,Down,False
279,1.82,5.79,Silence,False
280,2.66,5.42,Burst,False
281,4.72,9.2,Normal,True
282,5.26,5.3,Down,False
283,2.14,1.16,Normal,True
284,1.44,7.75,Down,False
285,2.09,0.68,Down,False
286,5.46,8.11,Down,True
287,0.37,5.09,Down,False
288,2.94,8.81,Silence,False
289,2.74,9.77,Normal,False
290,0.8,5.32,Down,True
291,3.74,7.32,Burst,False
292,1.65,0.16,Normal,False
293,5.93,8.26,Silence,False
294,3.28,8.01,Silence,False
295,4.12,7.94,Silence,True
296,5.86,3.86,Silence,True
297,2.35,9.16,Down,True
298,0.31,7.23,Normal,False
299,1.96,3.66,Normal,True
300,1.62,7.02,Silence,True
301,2.07,3.22,Normal,True
302,5.12,6.27,Down,False
303,2.76,1.95,Silence,True
304,3.47,0.83,Burst,True
305,3.16,6.43,Down,False
306,2.06,7.41,Normal,False
307,3.32,0.01,Normal,True
308,4.9,4.85,Down,False
309,5.04,4.58,Silence,False
310,2.6,9.99,Burst,False
311,2.03,6.89,Down,False
312,0.61,5.12,Down,True
313,6.0,6.94,Down,True
314,5.77,4.14,Silence,True
315,3.95,5.56,Silence,True
316,4.2,5.41,Down,False
317,2.89,4.24,Down,False
318,0.48,2.97,Normal,True
319,2.99,4.1,Down,True
320,0.34,7.52,Down,False
321,2.42,8.03,Down,True
322,5.41,8.09,Normal,False
323,2.47,9.46,Burst,False
324,0.02,6.16,Down,False
325,1.78,3.62,Normal,False
326,5.93,7.92,Burst,True
327,2.28,4.11,Burst,True
328,2.66,0.67,Silence,False
329,5.32,2.31,Normal,True
330,1.56,5.14,Normal,False
331,2.62,0.62,Down,True
332,5.84,9.91,Down,True
333,2.22,4.15,Burst,True
334,1.12,7.55,Normal,False
335,3.3,7.3,Down,False
336,0.71,9.13,Silence,True
337,0.45,6.42,Burst,True
338,0.42,6.91,Down,False
339,0.21,9.83,Silence,True
340,1.99,8.59,Silence,False
341,0.89,9.85,Down,True
342,5.96,0.52,Normal,True
343,0.8,3.96,Normal,True
344,2.88,9.3,Normal,False
345,3.31,9.04,Down,False
346,4.52,7.37,Normal,True
347,1.71,7.08,Silence,False
348,5.01,6.34,Silence,False
349,1.47,2.3,Down,False
350,0.45,4.24,Normal,True
351,2.29,9.22,Normal,True
352,5.56,0.54,Silence,False
353,3.15,0.61,Normal,False
354,1.31,0.08,Silence,False
355,3.35,1.91,Normal,False
356,3.13,6.02,Burst,False
357,3.7,3.86,Down,True
358,5.0,3.61,Burst,False
359,3.54,7.21,Down,True
360,2.43,3.93,Normal,False
361,2.83,4.34,Silence,True
362,0.92,9.99,Down,True
363,1.35,6.18,Burst,False
364,3.58,9.17,Silence,False
365,3.35,4.18,Down,False
366,0.42,9.31,Normal,False
367,3.07,1.57,Normal,True
368,4.9,4.63,Silence,True
369,3.62,3.07,Down,False
370,1.3,2.27,Silence,False
371,0.85,3.04,Down,False
372,4.28,8.99,Down,True
373,1.97,2.59,Burst,False
374,4.24,8.73,Silence,True
375,5.92,8.51,Down,True
376,4.84,3.42,Normal,True
377,3.07,8.47,Down,True
378,1.64,7.94,Down,True
379,3.75,3.1,Silence,True
380,2.99,8.53,Normal,True
381,1.06,2.34,Down,True
382,3.23,3.73,Silence,False
383,1.75,0.07,Burst,True
384,0.52,0.13,Down,True
385,4.05,5.46,Normal,True
386,2.78,4.16,Burst,True
387,4.32,9.91,Burst,False
388,3.44,0.64,Down,False
389,5.19,6.44,Down,False
390,1.26,3.7,Silence,True
391,5.72,8.02,Burst,False
392,1.63,6.9,Burst,False
393,2.3,8.02,Normal,False
394,1.29,9.56,Burst,True
395,4.98,7.18,Normal,False
396,2.75,0.27,Burst,False
397,3.99,1.9,Normal,True
398,0.35,0.39,Down,False
399,3.69,1.62,Down,False
400,0.1,8.58,Silence,True
401,4.65,1.37,Normal,False
402,1.77,4.03,Silence,True
403,0.72,3.58,Silence,True
404,5.56,8.26,Down,True
405,0.67,9.8,Burst,True
406,1.87,8.18,Burst,True
407,2.44,6.3,Silence,True
408,4.65,1.05,Silence,True
409,3.13,8.61,Burst,False
410,5.98,5.27,Silence,False
411,0.24,7.99,Burst,True
412,2.91,5.44,Silence,False
413,4.0,1.67,Silence,True
414,2.57,8.47,Normal,False
415,1.92,4.08,Burst,False
416,2.62,2.45,Silence,False
417,3.88,0.26,Silence,False
418,0.53,7.16,Down,False
419,1.19,8.98,Normal,False
420,1.35,4.06,Down,True
421,1.71,4.68,Burst,True
422,3.37,8.7,Down,True
423,0.66,4.65,Silence,False
424,5.3,7.53,Down,False
425,3.92,8.97,Down,True
426,3.45,3.58,Burst,True
427,1.33,2.49,Down,True
428,3.42,1.81,Burst,True
429,3.75,5.96,Burst,True
430,2.24,1.89,Normal,False
431,0.82,4.57,Down,True
432,2.21,9.92,Burst,False
433,1.29,3.75,Burst,True
434,0.99,4.46,Silence,True
435,4.27,0.15,Burst,False
436,0.73,8.45,Burst,True
437,2.35,1.51,Down,False
438,4.36,1.34,Normal,False
439,2.87,8.46,Burst,True
440,5.81,4.2,Down,True
441,1.75,3.57,Silence,False
442,5.79,9.37,Normal,False
443,2.92,1.82,Down,True
444,3.74,8.43,Down,True
445,1.48,4.31,Normal,False
446,4.77,9.82,Down,False
447,3.06,1.86,Down,False
448,0.02,3.92,Down,False
449,0.33,3.81,Normal,True
450,5.71,2.15,Normal,True
451,1.17,9.82,Down,False
452,2.14,2.84,Burst,True
453,3.56,6.46,Normal,True
454,3.28,2.96,Silence,True
455,3.04,8.19,Burst,True
456,1.61,4.97,Silence,True
457,5.39,9.01,Silence,True
458,1.75,1.71,Down,True
459,3.78,9.75,Normal,False
460,1.53,1.65,Normal,True
461,0.47,8.25,Silence,False
462,3.2,5.82,Normal,False
463,1.16,2.35,Burst,False
464,4.39,3.6,Silence,False
465,4.47,2.68,Down,False
466,1.77,0.68,Down,True
467,5.62,9.52,Silence,False
468,3.31,7.31,Normal,False
469,2.61,0.94,Normal,False
470,4.95,5.85,Burst,False
471,4.01,8.74,Burst,False
472,5.58,2.28,Normal,True
473,2.86,7.84,Down,True
474,0.31,8.23,Down,False
475,4.29,3.23,Burst,True
476,3.16,5.67,Silence,True
477,5.55,5.74,Normal,False
478,4.98,8.49,Normal,False
479,5.92,4.42,Burst,False
480,5.68,1.32,Burst,True
481,5.25,1.02,Normal,True
482,0.13,7.49,Normal,True
483,1.07,7.48,Normal,False
484,0.78,6.69,Silence,True
485,1.93,9.17,Down,False
486,3.69,5.41,Normal,True
487,4.84,8.06,Down,False
488,3.44,4.52,Silence,True
489,2.84,7.67,Normal,False
490,4.51,9.65,Normal,True
491,5.45,2.63,Down,True
492,0.1,7.11,Normal,True
493,3.2,5.65,Silence,True
494,2.36,1.85,Burst,False
495,1.69,5.32,Silence,False
496,3.55,2.1,Normal,False
497,4.54,7.22,Silence,True
498,5.94,5.11,Normal,True
499,1.91,4.68,Normal,True
500,3.84,3.53,Silence,True
501,5.98,0.5,Burst,True
502,0.89,6.75,Burst,False
503,4.67,4.3,Burst,False
504,3.94,5.08,Normal,True
505,2.65,8.09,Burst,False
506,0.36,8.78,Silence,False
507,0.2,0.61,Burst,False
508,2.53,8.4,Normal,True
509,1.47,7.78,Silence,True
510,3.84,0.75,Normal,True
511,2.93,8.76,Burst,False
512,0.73,7.63,Down,True
513,2.07,5.45,Burst,False
514,2.03,8.65,Burst,False
515,2.35,8.38,Normal,True
516,0.48,3.25,Normal,True
517,2.28,1.95,Down,True
518,5.23,7.06,Silence,True
519,5.51,9.93,Normal,True
520,1.08,8.99,Down,False
521,0.36,4.03,Normal,False
522,3.25,9.92,Burst,True
523,2.54,9.15,Burst,True
524,0.99,8.16,Down,False
525,4.58,4.08,Normal,True
526,4.64,7.6,Normal,False
527,5.9,1.27,Down,True
528,4.66,6.42,Burst,False
529,0.07,0.66,Silence,True
530,1.96,8.98,Down,False
531,3.25,3.4,Burst,False
532,2.2,7.6,Burst,True
533,2.2,7.88,Normal,True
534,2.21,5.44,Burst,False
535,3.63,6.36,Silence,False
536,1.66,1.89,Down,False
537,2.94,0.68,Silence,True
538,0.93,7.0,Silence,False
539,5.0,5.39,Silence,True
540,1.93,4.71,Silence,True
541,2.41,2.9,Burst,False
542,1.83,0.81,Silence,True
543,1.0,5.2,Down,True
544,4.12,9.84,Normal,True
545,3.29,4.7,Burst,True
546,3.84,5.88,Silence,False
547,2.8,2.16,Burst,False
548,4.5,3.62,Silence,False
549,3.98,7.45,Silence,False
550,2.92,9.71,Normal,True
551,4.5,3.4,Burst,True
552,5.3,7.61,Normal,False
553,3.13,4.25,Burst,True
554,4.16,1.16,Burst,False
555,3.32,7.5,Normal,False
556,5.67,8.72,Burst,True
557,5.1,3.99,Normal,True
558,0.0,1.32,Normal,True
559,4.52,2.55,Normal,True
560,1.64,9.26,Down,False
561,4.47,3.68,Down,False
562,1.72,5.5,Normal,True
563,5.88,5.52,Down,False
564,4.32,5.03,Burst,True
565,3.54,9.02,Down,False
566,2.74,4.81,Down,False
567,4.54,0.83,Normal,True
568,4.14,2.31,Silence,False
569,3.22,6.11,Down,True
570,1.54,2.65,Silence,True
571,2.14,9.58,Normal,True
572,1.78,3.26,Silence,True
573,1.01,0.34,Normal,False
574,0.36,2.52,Silence,False
575,0.74,1.28,Burst,False
576,0.89,4.75,Silence,False
577,2.89,3.3,Normal,False
578,5.91,6.75,Burst,False
579,3.93,8.48,Normal,False
580,2.0,1.63,Down,True
581,2.61,7.34,Normal,False
582,3.51,6.9,Silence,True
583,2.34,5.14,Down,True
584,1.11,9.07,Normal,False
585,2.67,6.5,Normal,False
586,2.11,9.95,Silence,False
587,5.77,2.14,Burst,True
588,4.08,4.5,Silence,False
589,4.33,0.3,Burst,True
590,3.26,9.78,Silence,True
591,0.26,7.7,Normal,True
592,5.87,7.75,Down,True
593,3.87,2.45,Down,False
594,0.99,2.59,Normal,False
595,0.39,6.02,Down,True
596,1.57,3.93,Silence,False
597,3.6,6.39,Silence,True
598,1.55,5.54,Silence,True
599,0.62,2.27,Down,True
600,4.73,6.15,Down,True
601,2.52,5.27,Down,False
602,3.47,6.49,Down,True
603,0.97,4.42,Down,True
604,0.16,1.71,Down,True
605,0.32,9.82,Normal,False
606,0.15,1.81,Silence,False
607,5.56,1.2,Burst,False
608,0.93,3.85,Normal,True
609,1.15,1.31,Normal,True
610,2.81,0.4,Burst,False
611,2.22,0.95,Silence,False
612,3.35,0.9,Normal,False
613,2.97,1.99,Silence,True
614,5.51,8.43,Burst,False
615,0.7,5.85,Burst,False
616,0.95,2.61,Burst,False
617,4.66,2.89,Burst,True
618,3.43,7.56,Silence,True
619,3.95,1.34,Burst,True
620,1.19,3.78,Silence,False
621,4.95,6.04,Silence,False
622,4.01,8.41,Silence,False
623,1.71,7.77,Silence,True
624,0.89,3.23,Normal,False
625,1.57,1.44,Silence,True
626,3.4,0.26,Down,False
627,1.41,0.8,Silence,False
628,2.88,5.3,Burst,True
629,0.1,5.23,Silence,True
630,4.73,7.38,Silence,False
631,2.34,1.25,Silence,True
632,3.49,8.67,Silence,False
633,5.74,2.29,Down,True
634,3.34,2.33,Silence,False
635,4.95,3.73,Normal,True
636,0.74,7.73,Silence,False
637,5.01,6.74,Down,True
638,0.56,9.14,Normal,False
639,2.97,5.59,Down,True
640,2.13,7.22,Down,False
641,3.41,1.64,Burst,False
642,4.66,8.15,Silence,True
643,5.65,0.64,Burst,True
644,0.75,9.29,Silence,True
645,4.42,4.84,Normal,False
646,4.81,8.02,Down,True
647,3.72,2.22,Silence,False
648,3.77,1.68,Down,True
649,0.24,7.06,Down,False
650,3.73,4.34,Burst,True
651,2.25,1.71,Down,True
652,4.26,4.24,Normal,False
653,2.17,3.14,Silence,True
654,2.31,4.23,Normal,True
655,2.87,3.09,Burst,True
656,1.67,8.93,Normal,True
657,0.75,8.7,Down,True
658,1.62,6.7,Down,False
659,4.28,1.12,Normal,False
660,1.08,3.42,Burst,True
661,3.64,0.66,Burst,False
662,0.99,8.05,Silence,True
663,4.25,4.27,Down,True
664,1.89,1.01,Silence,False
665,5.45,2.64,Burst,True
666,2.65,1.88,Down,False
667,4.32,9.02,Down,False
668,3.76,5.91,Down,False
669,0.76,5.64,Normal,True
670,4.67,2.14,Silence,False
671,3.16,5.94,Normal,True
672,4.16,6.86,Silence,False
673,1.0,6.63,Down,True
674,1.01,4.74,Down,False
675,3.43,6.58,Burst,False
676,5.42,9.68,Silence,True
677,3.38,2.55,Normal,True
678,4.69,1.17,Normal,True
679,0.64,6.88,Silence,True
680,5.9,9.36,Down,True
681,3.27,7.42,Down,True
682,3.57,1.31,Down,False
683,1.42,4.03,Burst,False
684,5.28,3.58,Down,True
685,0.21,6.84,Burst,False
686,3.2,7.03,Burst,False
687,1.68,5.95,Silence,False
688,2.12,2.24,Down,False
689,1.21,0.13,Down,True
690,3.94,7.0,Burst,True
691,0.62,8.63,Silence,True
692,4.83,3.6,Normal,True
693,0.18,0.47,Burst,False
694,1.04,4.17,Down,False
695,4.44,8.29,Silence,False
696,5.75,7.39,Normal,True
697,2.26,2.75,Silence,True
698,3.93,0.04,Silence,False
699,1.55,7.55,Burst,True
700,4.21,0.32,Burst,True
701,3.82,7.26,Burst,False
702,5.29,1.4,Down,True
703,5.09,6.12,Down,False
704,3.94,6.68,Silence,True
705,2.1,9.66,Burst,True
706,2.95,4.52,Silence,False
707,3.74,6.58,Burst,True
708,3.38,5.23,Down,True
709,2.8,3.31,Down,True
710,0.68,1.66,Down,True
711,0.18,1.68,Normal,False
712,4.59,1.56,Silence,False
713,4.19,9.35,Normal,False
714,0.09,9.57,Down,False
715,1.59,3.19,Normal,False
716,1.82,4.27,Down,False
717,1.51,4.39,Down,True
718,0.95,8.96,Silence,True
719,4.69,1.65,Silence,True
720,3.23,8.4,Silence,False
721,4.83,9.21,Burst,False
722,0.78,6.96,Normal,False
723,0.06,1.18,Normal,True
724,0.03,1.06,Burst,False
725,2.29,1.88,Down,False
726,0.89,6.47,Silence,False
727,4.85,6.54,Silence,False
728,5.67,6.39,Down,False
729,3.94,9.86,Silence,True
730,4.4,8.83,Burst,True
731,1.54,6.86,Burst,True
732,4.87,6.23,Silence,True
733,4.76,3.23,Silence,True
734,1.87,2.47,Normal,False
735,5.39,6.25,Silence,False
736,4.71,8.33,Down,False
737,5.66,4.8,Down,False
738,4.22,3.68,Normal,True
739,5.8,6.12,Burst,False
740,5.65,5.79,Burst,True
741,4.97,6.69,Normal,False
742,1.42,3.6,Burst,True
743,1.24,4.39,Normal,True
744,2.21,7.97,Normal,False
745,0.53,7.62,Silence,False
746,4.7,7.7,Down,True
747,0.08,2.66,Normal,False
748,2.99,6.35,Burst,False
749,5.81,8.25,Silence,False
750,3.08,4.75,Normal,True
751,3.2,8.02,Normal,False
752,1.62,5.33,Burst,False
753,5.15,2.06,Normal,True
754,1.67,3.48,Burst,True
755,4.56,9.77,Normal,True
756,4.38,1.51,Burst,True
757,2.43,9.19,Normal,True
758,1.77,3.51,Down,False
759,0.45,2.28,Burst,True
760,4.35,4.1,Burst,False
761,2.92,7.82,Burst,False
762,3.21,5.42,Silence,False
763,0.37,4.38,Down,False
764,3.22,4.19,Normal,False
765,2.04,7.74,Silence,True
766,5.32,9.12,Down,True
767,5.34,4.34,Silence,False
768,5.47,5.23,Silence,False
769,1.42,7.77,Silence,False
770,2.24,7.23,Down,False
771,2.45,4.31,Normal,False
772,3.71,2.35,Down,False
773,1.21,8.23,Silence,True
774,4.26,5.12,Normal,True
775,0.87,5.44,Down,False
776,5.34,5.96,Down,True
777,4.23,7.21,Normal,False
778,1.71,0.57,Normal,True
779,0.07,3.96,Burst,False
780,1.69,7.44,Burst,True
781,5.3,1.75,Silence,True
782,3.29,9.2,Burst,False
783,0.25,0.75,Silence,False
784,1.44,5.34,Down,False
785,4.8,5.38,Burst,False
786,0.16,6.83,Down,False
787,3.71,8.02,Silence,False
788,4.07,1.78,Silence,True
789,0.16,9.85,Down,True
790,0.59,3.64,Normal,False
791,2.02,2.23,Burst,False
792,4.41,0.94,Down,False
793,1.18,4.77,Down,False
794,0.58,4.2,Silence,True
795,3.17,5.93,Normal,False
796,3.29,0.28,Down,False
797,0.93,1.91,Down,True
798,1.58,0.13,Down,False
799,5.49,1.55,Burst,True
800,3.84,6.95,Burst,False
801,4.56,1.89,Burst,False
802,0.8,2.01,Silence,False
803,2.78,1.03,Silence,False
804,5.08,1.38,Burst,False
805,1.26,2.97,Burst,True
806,4.1,5.31,Burst,True
807,4.73,3.72,Down,True
808,1.62,7.0,Down,True
809,3.09,4.75,Burst,True
810,5.13,6.56,Normal,True
811,4.43,3.32,Down,True
812,3.12,8.29,Burst,True
813,1.93,8.18,Silence,True
814,5.4,7.54,Normal,False
815,4.11,6.09,Burst,False
816,1.66,4.26,Down,True
817,3.28,9.09,Down,False
818,4.47,7.89,Burst,False
819,1.95,0.58,Silence,True
820,0.03,2.07,Silence,True
821,2.05,9.88,Burst,True
822,0.6,0.2,Down,False
823,2.55,5.44,Normal,False
824,3.9,9.11,Burst,True
825,4.16,3.37,Burst,False
826,4.18,8.08,Normal,False
827,3.5,5.72,Down,True
828,5.87,7.66,Silence,True
829,2.45,1.75,Normal,True
830,5.52,2.53,Down,True
831,0.44,9.08,Down,False
832,4.1,7.28,Silence,True
833,2.4,4.11,Down,True
834,1.22,1.6,Silence,False
835,3.31,1.88,Normal,True
836,1.26,9.03,Normal,False
837,5.49,4.12,Down,False
838,4.38,6.95,Normal,False
839,0.85,7.04,Burst,False
840,5.19,0.59,Down,True
841,2.91,8.32,Normal,True
842,2.69,6.57,Down,False
843,4.45,1.13,Burst,False
844,5.1,9.98,Burst,True
845,4.02,4.21,Burst,True
846,3.6,0.86,Normal,True
847,5.31,0.88,Down,True
848,0.54,5.01,Normal,False
849,4.51,0.85,Burst,True
850,5.39,8.1,Normal,True
851,4.71,9.33,Down,False
852,3.04,2.22,Normal,False
853,5.34,9.79,Down,False
854,0.87,1.77,Burst,False
855,3.52,5.79,Normal,False
856,5.8,0.22,Burst,True
857,3.31,8.96,Silence,True
858,5.26,9.0,Down,True
859,1.26,5.73,Normal,False
860,1.85,1.06,Burst,True
861,4.92,3.52,Down,True
862,3.83,2.34,Down,False
863,2.95,0.86,Down,False
864,1.75,1.31,Burst,False
865,5.54,8.04,Normal,False
866,2.05,5.01,Normal,True
867,2.3,3.24,Normal,False
868,2.14,1.89,Down,True
869,5.13,8.26,Normal,False
870,3.77,4.54,Down,False
871,4.87,8.97,Normal,True
872,0.68,7.15,Down,False
873,3.78,2.65,Silence,False
874,4.02,0.93,Down,True
875,4.85,6.02,Silence,False
876,5.58,9.1,Burst,False
877,1.65,8.33,Down,True
878,3.07,2.48,Burst,False
879,0.99,6.18,Down,False
880,5.58,2.51,Normal,False
881,5.32,2.87,Silence,False
882,3.28,0.03,Burst,True
883,4.91,4.16,Silence,True
884,1.42,6.07,Normal,True
885,4.93,6.2,Normal,True
886,5.03,9.22,Down,False
